abbreviation,driver_id,driver_ref,forename,surname,name,nationality,driver_idx
ALO,3,alonso,Fernando,Alonso,Fernando Alonso,Spanish,0
BOT,821,bottas,Valtteri,Bottas,Valtteri Bottas,Finnish,1
GAS,452,gasly,Pierre,Gasly,Pierre Gasly,French,2
GIO,840,giovinazzi,Antonio,Giovinazzi,Antonio Giovinazzi,Italian,3
HAM,0,hamilton,Lewis,Hamilton,Lewis Hamilton,British,4
KUB,8,kubica,Robert,Kubica,Robert Kubica,Polish,5
LAT,847,latifi,Nicholas,Latifi,Nicholas Latifi,Canadian,6
LEC,842,leclerc,Charles,Leclerc,Charles Leclerc,Monegasque,7
MAZ,851,mazepin,Nikita,Mazepin,Nikita Mazepin,Russian,8
MSC,852,mick_schumacher,Mick,Schumacher,Mick Schumacher,German,9
NOR,844,norris,Lando,Norris,Lando Norris,British,10
OCO,838,ocon,Esteban,Ocon,Esteban Ocon,French,11
PER,814,perez,Sergio,Perez,Sergio Perez,Mexican,12
RAI,7,raikkonen,Kimi,Räikkönen,Kimi Räikkönen,Finnish,13
RIC,816,ricciardo,Daniel,Ricciardo,Daniel Ricciardo,Australian,14
RUS,845,russell,George,Russell,George Russell,British,15
SAI,831,sainz,Carlos,Sainz,Carlos Sainz,Spanish,16
STR,839,stroll,Lance,Stroll,Lance Stroll,Canadian,17
TSU,850,tsunoda,Yuki,Tsunoda,Yuki Tsunoda,Japanese,18
VER,829,max_verstappen,Max,Verstappen,Max Verstappen,Dutch,19
VET,19,vettel,Sebastian,Vettel,Sebastian Vettel,German,20
