event_name,circuit_id,race_id,round,race_name,circuit_name,circuit_ref,location,country,lat,lng,altitude_m,circuit_idx
Australian Grand Prix,0,897,1,Australian Grand Prix,Albert Park Grand Prix Circuit,albert_park,Melbourne,Australia,-37.8497,144.968,10.0,0
Malaysian Grand Prix,1,898,2,Malaysian Grand Prix,Sepang International Circuit,sepang,Kuala Lumpur,Malaysia,2.76083,101.738,18.0,1
Bahrain Grand Prix,2,899,3,Bahrain Grand Prix,Bahrain International Circuit,bahrain,Sakhir,Bahrain,26.0325,50.5106,7.0,2
Chinese Grand Prix,16,900,4,Chinese Grand Prix,Shanghai International Circuit,shanghai,Shanghai,China,31.3389,121.22,5.0,3
Spanish Grand Prix,3,901,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,catalunya,Montmeló,Spain,41.57,2.26111,109.0,4
Monaco Grand Prix,5,902,6,Monaco Grand Prix,Circuit de Monaco,monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0,5
Canadian Grand Prix,6,903,7,Canadian Grand Prix,Circuit Gilles Villeneuve,villeneuve,Montreal,Canada,45.5,-73.5228,13.0,6
Austrian Grand Prix,69,904,8,Austrian Grand Prix,Red Bull Ring,red_bull_ring,Spielberg,Austria,47.2197,14.7647,678.0,7
British Grand Prix,8,905,9,British Grand Prix,Silverstone Circuit,silverstone,Silverstone,UK,52.0786,-1.01694,153.0,8
German Grand Prix,9,906,10,German Grand Prix,Hockenheimring,hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0,9
Hungarian Grand Prix,10,907,11,Hungarian Grand Prix,Hungaroring,hungaroring,Budapest,Hungary,47.5789,19.2486,264.0,10
Belgian Grand Prix,12,908,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,spa,Spa,Belgium,50.4372,5.97139,401.0,11
Italian Grand Prix,13,909,13,Italian Grand Prix,Autodromo Nazionale di Monza,monza,Monza,Italy,45.6156,9.28111,162.0,12
Singapore Grand Prix,14,910,14,Singapore Grand Prix,Marina Bay Street Circuit,marina_bay,Marina Bay,Singapore,1.2914,103.864,18.0,13
Japanese Grand Prix,21,911,15,Japanese Grand Prix,Suzuka Circuit,suzuka,Suzuka,Japan,34.8431,136.541,45.0,14
Russian Grand Prix,70,912,16,Russian Grand Prix,Sochi Autodrom,sochi,Sochi,Russia,43.4057,39.9578,2.0,15
United States Grand Prix,68,913,17,United States Grand Prix,Circuit of the Americas,americas,Austin,USA,30.1328,-97.6411,161.0,16
Brazilian Grand Prix,17,914,18,Brazilian Grand Prix,Autódromo José Carlos Pace,interlagos,São Paulo,Brazil,-23.7036,-46.6997,785.0,17
Abu Dhabi Grand Prix,23,915,19,Abu Dhabi Grand Prix,Yas Marina Circuit,yas_marina,Abu Dhabi,UAE,24.4672,54.6031,3.0,18
