driverId,constructorId,top3,year,round,raceId,prediction_prob_top3,prediction_prob_from_shap,driver_importance_raw,constructor_importance_raw,driver_importance_norm,constructor_importance_norm,driver_signed,constructor_signed,driver_delta_prob,constructor_delta_prob,base_logit,model_logit,logit_from_shap,driver_name,constructor_name,race_name
0,129,1,2021,1,389,0.52605075,0.6366881668783854,1.760382585475491,1.8524616412262116,0.4872567082921594,0.5127432917075637,1.725717112766608,1.7526616848784107,0.39887359700940855,0.4037229860506025,-2.917360305786133,0.104297295,0.5610184918588859,Lewis Hamilton,Mercedes,Bahrain Grand Prix
821,129,1,2021,1,389,0.4877169,0.4976589382718749,1.14136002929214,1.9271826414118967,0.37195507828147556,0.6280449217181986,1.0813195588163906,1.826676431627794,0.24616941596630382,0.36013871858712554,-2.917360305786133,-0.04914233,-0.00936431534194826,Valtteri Bottas,Mercedes,Bahrain Grand Prix
829,8,1,2021,1,389,0.45926192,0.4112055689000538,1.0914352254888093,1.6246456162662708,0.4018419513548583,0.5981580486447735,0.9805837471352072,1.5777927064254766,0.20362439322019324,0.28520315605759106,-2.917360305786133,-0.16331446,-0.35898385222544893,Max Verstappen,Red Bull,Bahrain Grand Prix
844,0,1,2021,2,390,0.28839847,0.31123627390964237,0.7335660458166975,1.5527446405082075,0.32085142680041273,0.6791485731991499,0.6376552079782183,1.4853591554693444,0.11844920059226707,0.2184184922306176,-2.917360305786133,-0.9031749,-0.7943459423385701,Lando Norris,McLaren,Emilia Romagna Grand Prix
0,129,1,2021,2,390,0.52605075,0.42460916769435497,1.3553378505137998,1.3729143879174777,0.496778791719277,0.5032212082803563,1.321267069917174,1.2922128580139611,0.26011297060898286,0.2560808201780282,-2.917360305786133,0.104297295,-0.30388037785499766,Lewis Hamilton,Mercedes,Emilia Romagna Grand Prix
829,8,1,2021,2,390,0.45926192,0.4650084455167936,1.2280414184127801,1.7089722041040716,0.4181258844009042,0.5818741155987553,1.1166592765524062,1.6605056362991473,0.24349262700094398,0.3232426950188232,-2.917360305786133,-0.16331446,-0.1401953929345794,Max Verstappen,Red Bull,Emilia Romagna Grand Prix
829,8,1,2021,3,391,0.45926192,0.40792977481673975,1.0421969216499098,1.6754678677244594,0.38348987179152777,0.6165101282081041,0.9165148575261182,1.6283152358333761,0.19191528831953913,0.28881559086471925,-2.917360305786133,-0.16331446,-0.37253021242663875,Max Verstappen,Red Bull,Portuguese Grand Prix
821,129,1,2021,3,391,0.4877169,0.4580265534066694,1.06924571434813,1.8347648346809218,0.3681962225327526,0.631803777466903,1.0114426460617243,1.7376278103141547,0.22292625573550143,0.3285863765241316,-2.917360305786133,-0.04914233,-0.16828984941025382,Valtteri Bottas,Mercedes,Portuguese Grand Prix
0,129,1,2021,3,391,0.52605075,0.5613543124911765,1.564411239102491,1.728178839641469,0.47513088531773723,0.5248691146819591,1.530962272925394,1.6330583148475517,0.3445354930938309,0.36137089945381756,-2.917360305786133,0.104297295,0.2466602819868129,Lewis Hamilton,Mercedes,Portuguese Grand Prix
821,129,1,2021,4,392,0.4877169,0.49748451394036836,1.0668768868866674,1.9968009626404342,0.3482340308890501,0.6517659691106236,1.01343851136284,1.8938597652919253,0.23313841517225609,0.3678192657579137,-2.917360305786133,-0.04914233,-0.010062029131367556,Valtteri Bottas,Mercedes,Spanish Grand Prix
829,8,1,2021,4,392,0.45926192,0.41743768911943424,1.1639966882475306,1.5696986675792908,0.42579605140202154,0.5742039485976126,1.0552536337774583,1.5288058063553307,0.21779906606678218,0.2829799980269371,-2.917360305786133,-0.16331446,-0.3333008656533438,Max Verstappen,Red Bull,Spanish Grand Prix
0,129,1,2021,4,392,0.52605075,0.5289270568258603,1.5580137219044232,1.6030644003055863,0.492874159280402,0.5071258407192816,1.5202963059315893,1.5129015826469157,0.3318175242261343,0.3306446331194749,-2.917360305786133,0.104297295,0.1158375827923721,Lewis Hamilton,Mercedes,Spanish Grand Prix
844,0,1,2021,5,393,0.28839847,0.2686860876987132,0.6848370654004626,1.3919094017244484,0.3297644061233121,0.6702355938762062,0.5949400344111582,1.3211212131562702,0.10017817759802078,0.1794030202292108,-2.917360305786133,-0.9031749,-1.0012990582187045,Lando Norris,McLaren,Monaco Grand Prix
829,8,1,2021,5,393,0.45926192,0.49001732241462514,1.308604005150622,1.7375051198893519,0.42959853092361544,0.5704014690760563,1.1883736342859548,1.6890506542239123,0.2635399092459937,0.33930008094882036,-2.917360305786133,-0.16331446,-0.03993601727626572,Max Verstappen,Red Bull,Monaco Grand Prix
831,5,1,2021,5,393,0.28335705,0.3088104632933367,0.3766087651802731,2.4140443541615886,0.13495362880104436,0.8650463711985973,-0.2476565235622692,2.3593304511381783,-0.05519297247729349,0.2683068292847592,-2.917360305786133,-0.9278698,-0.8056863782102237,Carlos Sainz,Ferrari,Monaco Grand Prix
19,115,1,2021,6,394,0.26045325,0.21016673924245013,2.0712872549900885,0.6053252492941038,0.773846513708655,0.22615348629097137,2.041864978063021,-0.448425321067245,0.17678470949806285,-0.08394538735471754,-2.917360305786133,-1.043614,-1.3239206487903568,Sebastian Vettel,Aston Martin,Azerbaijan Grand Prix
452,209,1,2021,6,394,0.010497785,0.01073414536471468,0.4495531363263261,1.3596038392626837,0.24848763395985357,0.7515123660395936,-0.33137655008966765,-1.2747964350678382,-0.004154486476174609,-0.026638157819542166,-2.917360305786133,-4.5460377,-4.5235332909436385,Pierre Gasly,AlphaTauri,Azerbaijan Grand Prix
814,8,1,2021,6,394,0.3254422,0.3046072654007957,0.2873067703885112,1.924828053597206,0.12987760387530356,0.8701223961242444,0.22657175372502283,1.8653350727873783,0.045770875229157126,0.24108816977562525,-2.917360305786133,-0.7288724,-0.8254534792737318,Sergio Pérez,Red Bull,Azerbaijan Grand Prix
829,8,1,2021,7,395,0.45926192,0.5244950922206972,1.2676299353133977,1.9282079913907868,0.3966502571112194,0.6033497428884677,1.1426402580139543,1.8727789152676069,0.26422811289949594,0.3795387657855277,-2.917360305786133,-0.16331446,0.09805886749542836,Max Verstappen,Red Bull,French Grand Prix
814,8,1,2021,7,395,0.3254422,0.3146879984759146,0.3324484019092496,1.929313562043488,0.14698646772187454,0.8530135322776833,0.2661008385210826,1.872966922969654,0.05438482076162443,0.24877657315009633,-2.917360305786133,-0.7288724,-0.7782925442953963,Sergio Pérez,Red Bull,French Grand Prix
0,129,1,2021,7,395,0.52605075,0.5276392461600016,1.5613833002117161,1.5943032618742978,0.4947840254385388,0.5052159745611443,1.524720602458577,1.5033095049726348,0.33204332133159165,0.32865256855004976,-2.917360305786133,0.104297295,0.11066980164507911,Lewis Hamilton,Mercedes,French Grand Prix
829,8,1,2021,8,396,0.45926192,0.45057100393755894,1.1489351094190536,1.73520559008127,0.3983630582300329,0.6016369417696203,1.0331310536949885,1.6858653781666204,0.22465111839707588,0.31866715619935876,-2.917360305786133,-0.16331446,-0.19836387392452393,Max Verstappen,Red Bull,Styrian Grand Prix
821,129,1,2021,8,396,0.4877169,0.4853429756786084,1.1106145860716152,1.89850478877826,0.3690829268369104,0.6309170731627572,1.056609356100736,1.802106050431946,0.23845034453354488,0.35072742901642284,-2.917360305786133,-0.04914233,-0.058644899253450955,Valtteri Bottas,Mercedes,Styrian Grand Prix
0,129,1,2021,8,396,0.52605075,0.4863799522774363,1.4817728103194363,1.4988814132084083,0.49713005910666874,0.5028699408929957,1.4485940044329935,1.4142726292791075,0.30441449297754464,0.29924974976706986,-2.917360305786133,0.104297295,-0.054493672074031885,Lewis Hamilton,Mercedes,Styrian Grand Prix
829,8,1,2021,9,397,0.45926192,0.48848453645343337,1.216996165958348,1.825801666976472,0.39995958745117766,0.6000404125484937,1.0941278359556288,1.7771624689531462,0.24620049668607838,0.3494380823501681,-2.917360305786133,-0.16331446,-0.0460700008773578,Max Verstappen,Red Bull,Austrian Grand Prix
821,129,1,2021,9,397,0.4877169,0.42802798977405204,0.9320027063834639,1.8408054781557417,0.3361223151243731,0.6638776848752662,0.8827618779854702,1.7446969609014245,0.19165408016480637,0.3124100905178756,-2.917360305786133,-0.04914233,-0.2899014668992379,Valtteri Bottas,Mercedes,Austrian Grand Prix
844,0,1,2021,9,397,0.28839847,0.23746218232938557,0.5361562501239022,1.3741742647866233,0.28066151168020975,0.7193384883192668,0.44163700967678743,1.3090795704111624,0.07063473462729467,0.1598844942182952,-2.917360305786133,-0.9031749,-1.166643725698183,Lando Norris,McLaren,Austrian Grand Prix
821,129,1,2021,10,398,0.4877169,0.55937994063793,1.150297329549351,2.1779398840784956,0.3456175914502073,0.6543824085494923,1.0921750782276276,2.0638311882656017,0.26068687164244786,0.42056709138606596,-2.917360305786133,-0.04914233,0.23864596070709654,Valtteri Bottas,Mercedes,British Grand Prix
842,5,1,2021,10,398,0.4536611,0.38546939284857346,0.7639309340708658,1.8619866411729742,0.2909196165457086,0.7090803834539106,0.6304176600813272,1.8205457035871278,0.13513217517351828,0.293259238486841,-2.917360305786133,-0.18588889,-0.4663969421176781,Charles Leclerc,Ferrari,British Grand Prix
0,129,1,2021,10,398,0.52605075,0.6058290337102431,1.6565381494979254,1.8197033833720364,0.47653137270062534,0.5234686272990869,1.6257615116448032,1.7214118780430467,0.37363228102235607,0.3902467124443578,-2.917360305786133,0.104297295,0.42981308390171713,Lewis Hamilton,Mercedes,British Grand Prix
