raceId,driverId,constructorId,year,round,date,top3,avg_qualifying_pos,teammate_delta,fastest_lap_rate,position_delta,podium_rate,crash_rate,points_per_finish,experience,avg_qualifying_pos_resid,teammate_delta_resid,fastest_lap_rate_resid,position_delta_resid,podium_rate_resid,crash_rate_resid,points_per_finish_resid,experience_resid,altitude_m,length_m,corners_count,rotation,avg_track_temp,avg_air_temp,avg_humidity,avg_qualifying_pos_missing,teammate_delta_missing,fastest_lap_rate_missing,position_delta_missing,podium_rate_missing,crash_rate_missing,points_per_finish_missing,experience_missing,altitude_m_missing,length_m_missing,corners_count_missing,rotation_missing,avg_track_temp_missing,avg_air_temp_missing,avg_humidity_missing,split
898,0,129,2014,2,2014-03-30 08:00:00,1,1.0,2.0,0.0,-18.0,0.0,0.0,0.0,1.0,-9.517418611308537,1.978542308299771,-0.04975124378109453,-17.692720919213457,-0.15049751243781095,-0.05987868198689093,-5.850629047224197,-75.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
899,0,129,2014,3,2014-04-06 15:00:00,1,1.0,2.0,0.5,-9.0,0.5,0.0,25.0,2.0,-9.517418611308537,1.978542308299771,0.4502487562189055,-8.692720919213457,0.34950248756218905,-0.05987868198689093,19.149370952775804,-74.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
900,0,129,2014,4,2014-04-20 07:00:00,1,1.3333333333333333,1.0,0.3333333333333333,-5.666666666666667,0.6666666666666666,0.0,25.0,3.0,-9.184085277975203,0.978542308299771,0.2835820895522388,-5.359387585880123,0.5161691542288557,-0.05987868198689093,19.149370952775804,-73.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
901,0,129,2014,5,2014-05-11 12:00:00,1,1.25,1.5,0.25,-4.25,0.75,0.0,25.0,4.0,-9.267418611308537,1.478542308299771,0.20024875621890548,-3.9427209192134565,0.599502487562189,-0.05987868198689093,19.149370952775804,-72.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
902,0,129,2014,6,2014-05-25 12:00:00,1,1.2,1.4,0.2,-3.4,0.8,0.0,25.0,5.0,-9.317418611308538,1.378542308299771,0.1502487562189055,-3.0927209192134564,0.6495024875621891,-0.05987868198689093,19.149370952775804,-71.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
903,0,129,2014,7,2014-06-08 18:00:00,0,1.3333333333333333,1.0,0.1666666666666666,-2.833333333333333,0.8333333333333334,0.0,23.6,6.0,-9.184085277975203,0.978542308299771,0.11691542288557208,-2.5260542525467895,0.6828358208955224,-0.05987868198689093,17.749370952775806,-70.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
904,0,129,2014,8,2014-06-22 12:00:00,1,1.4285714285714286,0.7142857142857143,0.1428571428571428,-4.571428571428571,0.7142857142857143,0.0,23.6,7.0,-9.088847182737108,0.6928280225854853,0.09310589907604827,-4.264149490642027,0.5637882018479033,-0.05987868198689093,17.749370952775806,-69.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
905,0,129,2014,9,2014-07-06 12:00:00,1,2.375,-0.125,0.125,-3.125,0.75,0.0,22.666666666666668,8.0,-8.142418611308537,-0.146457691700229,0.07524875621890548,-2.8177209192134565,0.599502487562189,-0.05987868198689093,16.816037619442472,-68.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
906,0,129,2014,10,2014-07-20 12:00:00,1,2.7777777777777777,-0.6666666666666666,0.2222222222222222,-2.2222222222222223,0.7777777777777778,0.0,23.0,9.0,-7.73964083353076,-0.6881243583668957,0.1724709784411277,-1.9149431414356788,0.6272802653399668,-0.05987868198689093,17.149370952775804,-67.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
907,0,129,2014,11,2014-07-27 12:00:00,1,4.1,-2.1,0.3,-0.3,0.8,0.0,22.0,10.0,-6.417418611308538,-2.121457691700229,0.25024875621890547,0.007279080786543601,0.6495024875621891,-0.05987868198689093,16.149370952775804,-66.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
908,0,129,2014,12,2014-08-24 12:00:00,0,6.1,-4.3,0.3,3.4,0.9,0.0,21.22222222222222,11.0,-4.417418611308538,-4.321457691700229,0.25024875621890547,3.7072790807865434,0.7495024875621891,-0.05987868198689093,15.371593174998026,-65.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
909,0,129,2014,13,2014-09-07 12:00:00,1,6.2,-4.6,0.2,1.7,0.8,0.0,20.75,12.0,-4.317418611308537,-4.621457691700229,0.1502487562189055,2.0072790807865437,0.6495024875621891,-0.05987868198689093,14.899370952775804,-64.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
910,0,129,2014,14,2014-09-21 12:00:00,1,6.1,-4.4,0.3,1.6,0.8,0.0,20.75,13.0,-4.417418611308538,-4.42145769170023,0.25024875621890547,1.9072790807865436,0.6495024875621891,-0.05987868198689093,14.899370952775804,-63.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
911,0,129,2014,15,2014-10-05 06:00:00,1,6.1,-4.6,0.4,1.6,0.8,0.0,20.75,14.0,-4.417418611308538,-4.621457691700229,0.3502487562189055,1.9072790807865436,0.6495024875621891,-0.05987868198689093,14.899370952775804,-62.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
912,0,129,2014,16,2014-10-12 11:00:00,1,6.2,-4.8,0.5,1.7,0.8,0.0,20.75,15.0,-4.317418611308537,-4.821457691700229,0.4502487562189055,2.0072790807865437,0.6495024875621891,-0.05987868198689093,14.899370952775804,-61.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
913,0,129,2014,17,2014-11-02 20:00:00,1,6.1,-4.6,0.5,1.7,0.8,0.0,21.625,16.0,-4.417418611308538,-4.621457691700229,0.4502487562189055,2.0072790807865437,0.6495024875621891,-0.05987868198689093,15.774370952775804,-60.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
914,0,129,2014,18,2014-11-09 16:00:00,1,6.1,-4.6,0.5,3.3,0.9,0.0,22.0,17.0,-4.417418611308538,-4.621457691700229,0.4502487562189055,3.6072790807865434,0.7495024875621891,-0.05987868198689093,16.149370952775804,-59.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
915,0,129,2014,19,2014-11-23 13:00:00,1,5.4,-4.1,0.6,2.6,0.9,0.0,22.0,18.0,-5.117418611308537,-4.121457691700229,0.5502487562189055,2.9072790807865436,0.7495024875621891,-0.05987868198689093,16.149370952775804,-58.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
916,0,129,2015,1,2015-03-15 05:00:00,1,5.0,-3.7,0.5,2.2,0.9,0.0,24.77777777777778,19.0,-5.517418611308537,-3.721457691700229,0.4502487562189055,2.5072790807865437,0.7495024875621891,-0.05987868198689093,18.927148730553583,-57.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
917,0,129,2015,2,2015-03-29 07:00:00,1,3.5,-2.1,0.5,0.5,0.9,0.0,25.88888888888889,20.0,-7.017418611308537,-2.121457691700229,0.4502487562189055,0.8072790807865435,0.7495024875621891,-0.05987868198689093,20.038259841664694,-56.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
918,0,129,2015,3,2015-04-12 06:00:00,1,1.5,0.1,0.5,-1.5,0.9,0.0,26.22222222222222,21.0,-9.017418611308537,0.07854230829977102,0.4502487562189055,-1.1927209192134565,0.7495024875621891,-0.05987868198689093,20.371593174998026,-55.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
919,0,129,2015,4,2015-04-19 15:00:00,1,1.4,0.3,0.6,0.2,1.0,0.0,26.1,22.0,-9.117418611308537,0.278542308299771,0.5502487562189055,0.5072790807865436,0.849502487562189,-0.05987868198689093,20.249370952775806,-54.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
920,0,129,2015,5,2015-05-10 12:00:00,1,1.4,0.4,0.5,0.2,1.0,0.0,26.1,23.0,-9.117418611308537,0.37854230829977104,0.4502487562189055,0.5072790807865436,0.849502487562189,-0.05987868198689093,20.249370952775806,-53.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
921,0,129,2015,6,2015-05-24 12:00:00,1,1.5,0.2,0.5,0.2,1.0,0.0,25.4,24.0,-9.017418611308537,0.17854230829977102,0.4502487562189055,0.5072790807865436,0.849502487562189,-0.05987868198689093,19.549370952775803,-52.37935323383084,109.0,5223.0,16.0,92.0,33.8,23.2,56.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,unused
