raceId,year,round,circuitId,name,date,time
897,2014,1,0,Australian Grand Prix,2014-03-16 06:00:00,06:00:00
898,2014,2,1,Malaysian Grand Prix,2014-03-30 08:00:00,08:00:00
899,2014,3,2,Bahrain Grand Prix,2014-04-06 15:00:00,15:00:00
900,2014,4,16,Chinese Grand Prix,2014-04-20 07:00:00,07:00:00
901,2014,5,3,Spanish Grand Prix,2014-05-11 12:00:00,12:00:00
902,2014,6,5,Monaco Grand Prix,2014-05-25 12:00:00,12:00:00
903,2014,7,6,Canadian Grand Prix,2014-06-08 18:00:00,18:00:00
904,2014,8,69,Austrian Grand Prix,2014-06-22 12:00:00,12:00:00
905,2014,9,8,British Grand Prix,2014-07-06 12:00:00,12:00:00
906,2014,10,9,German Grand Prix,2014-07-20 12:00:00,12:00:00
907,2014,11,10,Hungarian Grand Prix,2014-07-27 12:00:00,12:00:00
908,2014,12,12,Belgian Grand Prix,2014-08-24 12:00:00,12:00:00
909,2014,13,13,Italian Grand Prix,2014-09-07 12:00:00,12:00:00
910,2014,14,14,Singapore Grand Prix,2014-09-21 12:00:00,12:00:00
911,2014,15,21,Japanese Grand Prix,2014-10-05 06:00:00,06:00:00
912,2014,16,70,Russian Grand Prix,2014-10-12 11:00:00,11:00:00
913,2014,17,68,United States Grand Prix,2014-11-02 20:00:00,20:00:00
914,2014,18,17,Brazilian Grand Prix,2014-11-09 16:00:00,16:00:00
915,2014,19,23,Abu Dhabi Grand Prix,2014-11-23 13:00:00,13:00:00
916,2015,1,0,Australian Grand Prix,2015-03-15 05:00:00,05:00:00
917,2015,2,1,Malaysian Grand Prix,2015-03-29 07:00:00,07:00:00
918,2015,3,16,Chinese Grand Prix,2015-04-12 06:00:00,06:00:00
919,2015,4,2,Bahrain Grand Prix,2015-04-19 15:00:00,15:00:00
920,2015,5,3,Spanish Grand Prix,2015-05-10 12:00:00,12:00:00
921,2015,6,5,Monaco Grand Prix,2015-05-24 12:00:00,12:00:00
922,2015,7,6,Canadian Grand Prix,2015-06-07 18:00:00,18:00:00
923,2015,8,69,Austrian Grand Prix,2015-06-21 12:00:00,12:00:00
924,2015,9,8,British Grand Prix,2015-07-05 12:00:00,12:00:00
925,2015,10,10,Hungarian Grand Prix,2015-07-26 12:00:00,12:00:00
926,2015,11,12,Belgian Grand Prix,2015-08-23 12:00:00,12:00:00
927,2015,12,13,Italian Grand Prix,2015-09-06 12:00:00,12:00:00
928,2015,13,14,Singapore Grand Prix,2015-09-20 12:00:00,12:00:00
929,2015,14,21,Japanese Grand Prix,2015-09-27 05:00:00,05:00:00
930,2015,15,70,Russian Grand Prix,2015-10-11 11:00:00,11:00:00
931,2015,16,68,United States Grand Prix,2015-10-25 19:00:00,19:00:00
932,2015,17,31,Mexican Grand Prix,2015-11-01 19:00:00,19:00:00
933,2015,18,17,Brazilian Grand Prix,2015-11-15 16:00:00,16:00:00
934,2015,19,23,Abu Dhabi Grand Prix,2015-11-29 13:00:00,13:00:00
935,2016,1,0,Australian Grand Prix,2016-03-20 05:00:00,05:00:00
936,2016,2,2,Bahrain Grand Prix,2016-04-03 15:00:00,15:00:00
937,2016,3,16,Chinese Grand Prix,2016-04-17 06:00:00,06:00:00
938,2016,4,70,Russian Grand Prix,2016-05-01 12:00:00,12:00:00
