constructorResultsId,raceId,constructorId,points,date
10312,897,205,0.0,2014-03-16 06:00:00
10313,897,203,0.0,2014-03-16 06:00:00
10314,897,204,0.0,2014-03-16 06:00:00
10315,897,14,0.0,2014-03-16 06:00:00
10316,897,129,25.0,2014-03-16 06:00:00
10317,897,9,9.0,2014-03-16 06:00:00
10318,897,2,10.0,2014-03-16 06:00:00
10319,897,5,18.0,2014-03-16 06:00:00
10320,897,0,33.0,2014-03-16 06:00:00
10321,897,4,6.0,2014-03-16 06:00:00
10322,897,8,0.0,2014-03-16 06:00:00
10323,898,14,0.0,2014-03-30 08:00:00
10324,898,203,0.0,2014-03-30 08:00:00
10325,898,204,0.0,2014-03-30 08:00:00
10326,898,205,0.0,2014-03-30 08:00:00
10327,898,2,10.0,2014-03-30 08:00:00
10328,898,0,10.0,2014-03-30 08:00:00
10329,898,9,10.0,2014-03-30 08:00:00
10330,898,5,12.0,2014-03-30 08:00:00
10331,898,8,15.0,2014-03-30 08:00:00
10332,898,129,43.0,2014-03-30 08:00:00
10333,898,4,1.0,2014-03-30 08:00:00
10334,899,204,0.0,2014-04-06 15:00:00
10335,899,14,0.0,2014-04-06 15:00:00
10336,899,0,0.0,2014-04-06 15:00:00
10337,899,203,0.0,2014-04-06 15:00:00
10338,899,9,25.0,2014-04-06 15:00:00
10339,899,4,0.0,2014-04-06 15:00:00
10340,899,5,3.0,2014-04-06 15:00:00
10341,899,2,10.0,2014-04-06 15:00:00
10342,899,8,20.0,2014-04-06 15:00:00
10343,899,129,43.0,2014-04-06 15:00:00
10344,899,205,0.0,2014-04-06 15:00:00
10345,900,14,0.0,2014-04-20 07:00:00
10346,900,204,0.0,2014-04-20 07:00:00
10347,900,205,0.0,2014-04-20 07:00:00
10348,900,203,0.0,2014-04-20 07:00:00
10349,900,4,1.0,2014-04-20 07:00:00
10350,900,2,6.0,2014-04-20 07:00:00
10351,900,9,10.0,2014-04-20 07:00:00
10352,900,8,22.0,2014-04-20 07:00:00
10353,900,0,0.0,2014-04-20 07:00:00
10354,900,129,43.0,2014-04-20 07:00:00
10355,900,5,19.0,2014-04-20 07:00:00
10356,901,204,0.0,2014-05-11 12:00:00
10357,901,203,0.0,2014-05-11 12:00:00
10358,901,14,0.0,2014-05-11 12:00:00
10359,901,4,0.0,2014-05-11 12:00:00
10360,901,9,3.0,2014-05-11 12:00:00
10361,901,205,4.0,2014-05-11 12:00:00
10362,901,5,14.0,2014-05-11 12:00:00
10363,901,2,10.0,2014-05-11 12:00:00
10364,901,8,27.0,2014-05-11 12:00:00
10365,901,129,43.0,2014-05-11 12:00:00
10366,901,0,0.0,2014-05-11 12:00:00
10367,902,204,0.0,2014-05-25 12:00:00
10368,902,4,0.0,2014-05-25 12:00:00
10369,902,14,0.0,2014-05-25 12:00:00
10370,902,203,2.0,2014-05-25 12:00:00
10371,902,129,43.0,2014-05-25 12:00:00
10372,902,2,6.0,2014-05-25 12:00:00
10373,902,0,9.0,2014-05-25 12:00:00
10374,902,9,10.0,2014-05-25 12:00:00
10375,902,5,12.0,2014-05-25 12:00:00
10376,902,8,15.0,2014-05-25 12:00:00
10377,902,205,4.0,2014-05-25 12:00:00
10378,903,205,0.0,2014-06-08 18:00:00
10379,903,203,0.0,2014-06-08 18:00:00
10380,903,204,0.0,2014-06-08 18:00:00
10381,903,14,0.0,2014-06-08 18:00:00
10382,903,2,6.0,2014-06-08 18:00:00
10383,903,5,9.0,2014-06-08 18:00:00
10384,903,9,10.0,2014-06-08 18:00:00
10385,903,0,14.0,2014-06-08 18:00:00
10386,903,129,18.0,2014-06-08 18:00:00
10387,903,4,4.0,2014-06-08 18:00:00
10388,903,8,40.0,2014-06-08 18:00:00
10389,904,4,0.0,2014-06-22 12:00:00
10390,904,204,0.0,2014-06-22 12:00:00
10391,904,203,0.0,2014-06-22 12:00:00
10392,904,14,0.0,2014-06-22 12:00:00
10393,904,205,0.0,2014-06-22 12:00:00
10394,904,8,4.0,2014-06-22 12:00:00
10395,904,0,6.0,2014-06-22 12:00:00
10396,904,9,10.0,2014-06-22 12:00:00
10397,904,5,11.0,2014-06-22 12:00:00
10398,904,2,27.0,2014-06-22 12:00:00
10399,904,129,43.0,2014-06-22 12:00:00
10400,905,204,0.0,2014-07-06 12:00:00
