constructorStandingsId,raceId,constructorId,points,position,wins,date
11072,897,5,18.0,3,0,2014-03-16 06:00:00
11073,897,129,25.0,2,1,2014-03-16 06:00:00
11074,897,0,33.0,1,0,2014-03-16 06:00:00
11075,897,2,10.0,4,0,2014-03-16 06:00:00
11076,897,14,0.0,7,0,2014-03-16 06:00:00
11077,897,4,6.0,6,0,2014-03-16 06:00:00
11078,897,205,0.0,9,0,2014-03-16 06:00:00
11079,897,203,0.0,8,0,2014-03-16 06:00:00
11080,897,204,0.0,10,0,2014-03-16 06:00:00
11081,897,8,0.0,11,0,2014-03-16 06:00:00
11082,897,9,9.0,5,0,2014-03-16 06:00:00
11083,898,129,68.0,1,2,2014-03-30 08:00:00
11084,898,0,43.0,2,0,2014-03-30 08:00:00
11085,898,8,15.0,6,0,2014-03-30 08:00:00
11086,898,204,0.0,10,0,2014-03-30 08:00:00
11087,898,205,0.0,9,0,2014-03-30 08:00:00
11088,898,203,0.0,11,0,2014-03-30 08:00:00
11089,898,14,0.0,8,0,2014-03-30 08:00:00
11090,898,4,7.0,7,0,2014-03-30 08:00:00
11091,898,9,19.0,5,0,2014-03-30 08:00:00
11092,898,2,20.0,4,0,2014-03-30 08:00:00
11093,898,5,30.0,3,0,2014-03-30 08:00:00
11094,899,8,35.0,4,0,2014-04-06 15:00:00
11095,899,204,0.0,11,0,2014-04-06 15:00:00
11096,899,205,0.0,8,0,2014-04-06 15:00:00
11097,899,2,30.0,6,0,2014-04-06 15:00:00
11098,899,14,0.0,9,0,2014-04-06 15:00:00
11099,899,4,7.0,7,0,2014-04-06 15:00:00
11100,899,9,44.0,2,0,2014-04-06 15:00:00
11101,899,5,33.0,5,0,2014-04-06 15:00:00
11102,899,0,43.0,3,0,2014-04-06 15:00:00
11103,899,129,111.0,1,3,2014-04-06 15:00:00
11104,899,203,0.0,10,0,2014-04-06 15:00:00
11105,900,204,0.0,11,0,2014-04-20 07:00:00
