driverStandingsId,raceId,driverId,points,position,wins,date
29993,897,15,0.0,11,0,2014-03-16 06:00:00
29994,897,819,0.0,13,0,2014-03-16 06:00:00
29995,897,3,12.0,4,0,2014-03-16 06:00:00
29996,897,827,0.0,17,0,2014-03-16 06:00:00
29997,897,153,0.0,15,0,2014-03-16 06:00:00
29998,897,154,0.0,21,0,2014-03-16 06:00:00
29999,897,7,6.0,7,0,2014-03-16 06:00:00
30000,897,814,1.0,10,0,2014-03-16 06:00:00
30001,897,0,0.0,19,0,2014-03-16 06:00:00
30002,897,825,2.0,9,0,2014-03-16 06:00:00
30003,897,823,0.0,14,0,2014-03-16 06:00:00
30004,897,2,25.0,1,1,2014-03-16 06:00:00
30005,897,816,0.0,22,0,2014-03-16 06:00:00
30006,897,17,15.0,3,0,2014-03-16 06:00:00
30007,897,824,18.0,2,0,2014-03-16 06:00:00
30008,897,820,0.0,12,0,2014-03-16 06:00:00
30009,897,807,8.0,6,0,2014-03-16 06:00:00
30010,897,812,0.0,16,0,2014-03-16 06:00:00
30011,897,19,0.0,18,0,2014-03-16 06:00:00
30012,897,12,0.0,20,0,2014-03-16 06:00:00
30013,897,817,4.0,8,0,2014-03-16 06:00:00
30014,897,821,10.0,5,0,2014-03-16 06:00:00
30015,898,2,43.0,1,1,2014-03-30 08:00:00
30016,898,816,0.0,22,0,2014-03-30 08:00:00
30017,898,3,24.0,3,0,2014-03-30 08:00:00
30018,898,821,14.0,8,0,2014-03-30 08:00:00
30019,898,807,18.0,6,0,2014-03-30 08:00:00
30020,898,7,6.0,9,0,2014-03-30 08:00:00
30021,898,817,4.0,11,0,2014-03-30 08:00:00
30022,898,825,3.0,12,0,2014-03-30 08:00:00
30023,898,814,1.0,13,0,2014-03-30 08:00:00
30024,898,15,0.0,15,0,2014-03-30 08:00:00
30025,898,824,20.0,5,0,2014-03-30 08:00:00
30026,898,820,0.0,16,0,2014-03-30 08:00:00
30027,898,823,0.0,20,0,2014-03-30 08:00:00
30028,898,153,0.0,14,0,2014-03-30 08:00:00
30029,898,812,0.0,21,0,2014-03-30 08:00:00
30030,898,827,0.0,19,0,2014-03-30 08:00:00
30031,898,19,15.0,7,0,2014-03-30 08:00:00
30032,898,0,25.0,2,1,2014-03-30 08:00:00
30033,898,12,6.0,10,0,2014-03-30 08:00:00
30034,898,154,0.0,18,0,2014-03-30 08:00:00
30035,898,819,0.0,17,0,2014-03-30 08:00:00
30036,898,17,23.0,4,0,2014-03-30 08:00:00
30037,899,3,26.0,4,0,2014-04-06 15:00:00
30038,899,19,23.0,6,0,2014-04-06 15:00:00
30039,899,812,0.0,20,0,2014-04-06 15:00:00
30040,899,827,0.0,21,0,2014-04-06 15:00:00
30041,899,2,61.0,1,1,2014-04-06 15:00:00
30042,899,0,50.0,2,2,2014-04-06 15:00:00
30043,899,12,12.0,11,0,2014-04-06 15:00:00
30044,899,154,0.0,19,0,2014-04-06 15:00:00
30045,899,816,12.0,10,0,2014-04-06 15:00:00
30046,899,819,0.0,18,0,2014-04-06 15:00:00
30047,899,820,0.0,17,0,2014-04-06 15:00:00
30048,899,823,0.0,22,0,2014-04-06 15:00:00
30049,899,15,0.0,16,0,2014-04-06 15:00:00
30050,899,814,16.0,9,0,2014-04-06 15:00:00
30051,899,825,3.0,14,0,2014-04-06 15:00:00
30052,899,817,4.0,13,0,2014-04-06 15:00:00
30053,899,7,7.0,12,0,2014-04-06 15:00:00
30054,899,807,28.0,3,0,2014-04-06 15:00:00
30055,899,821,18.0,8,0,2014-04-06 15:00:00
30056,899,17,23.0,5,0,2014-04-06 15:00:00
30057,899,824,20.0,7,0,2014-04-06 15:00:00
30058,899,153,0.0,15,0,2014-04-06 15:00:00
30059,900,823,0.0,22,0,2014-04-20 07:00:00
30060,900,812,0.0,20,0,2014-04-20 07:00:00
30061,900,824,20.0,9,0,2014-04-20 07:00:00
30062,900,17,23.0,8,0,2014-04-20 07:00:00
30063,900,3,41.0,3,0,2014-04-20 07:00:00
30064,900,821,24.0,7,0,2014-04-20 07:00:00
30065,900,807,36.0,4,0,2014-04-20 07:00:00
30066,900,7,11.0,12,0,2014-04-20 07:00:00
30067,900,817,4.0,13,0,2014-04-20 07:00:00
30068,900,825,4.0,14,0,2014-04-20 07:00:00
30069,900,814,18.0,10,0,2014-04-20 07:00:00
30070,900,15,0.0,16,0,2014-04-20 07:00:00
30071,900,820,0.0,17,0,2014-04-20 07:00:00
30072,900,2,79.0,1,1,2014-04-20 07:00:00
30073,900,819,0.0,18,0,2014-04-20 07:00:00
30074,900,153,0.0,15,0,2014-04-20 07:00:00
30075,900,827,0.0,21,0,2014-04-20 07:00:00
30076,900,0,75.0,2,3,2014-04-20 07:00:00
30077,900,12,12.0,11,0,2014-04-20 07:00:00
30078,900,154,0.0,19,0,2014-04-20 07:00:00
30079,900,816,24.0,6,0,2014-04-20 07:00:00
30080,900,19,33.0,5,0,2014-04-20 07:00:00
30081,901,2,97.0,2,1,2014-05-11 12:00:00
30082,901,824,20.0,9,0,2014-05-11 12:00:00
30083,901,17,23.0,8,0,2014-05-11 12:00:00
30084,901,3,49.0,3,0,2014-05-11 12:00:00
30085,901,821,34.0,7,0,2014-05-11 12:00:00
30086,901,807,37.0,6,0,2014-05-11 12:00:00
30087,901,7,17.0,11,0,2014-05-11 12:00:00
30088,901,817,4.0,14,0,2014-05-11 12:00:00
30089,901,825,4.0,15,0,2014-05-11 12:00:00
30090,901,814,20.0,10,0,2014-05-11 12:00:00
30091,901,15,0.0,16,0,2014-05-11 12:00:00
30092,901,819,0.0,18,0,2014-05-11 12:00:00
30093,901,816,39.0,5,0,2014-05-11 12:00:00
30094,901,154,0.0,19,0,2014-05-11 12:00:00
30095,901,820,0.0,17,0,2014-05-11 12:00:00
30096,901,0,100.0,1,4,2014-05-11 12:00:00
30097,901,19,45.0,4,0,2014-05-11 12:00:00
30098,901,12,12.0,12,0,2014-05-11 12:00:00
30099,901,812,0.0,20,0,2014-05-11 12:00:00
30100,901,153,4.0,13,0,2014-05-11 12:00:00
30101,901,823,0.0,22,0,2014-05-11 12:00:00
30102,901,827,0.0,21,0,2014-05-11 12:00:00
30103,902,7,17.0,12,0,2014-05-25 12:00:00
30104,902,2,122.0,1,2,2014-05-25 12:00:00
30105,902,824,21.0,9,0,2014-05-25 12:00:00
30106,902,17,31.0,8,0,2014-05-25 12:00:00
30107,902,817,4.0,14,0,2014-05-25 12:00:00
30108,902,3,61.0,3,0,2014-05-25 12:00:00
30109,902,825,4.0,15,0,2014-05-25 12:00:00
30110,902,807,47.0,5,0,2014-05-25 12:00:00
30111,902,827,0.0,17,0,2014-05-25 12:00:00
30112,902,816,54.0,4,0,2014-05-25 12:00:00
30113,902,154,0.0,21,0,2014-05-25 12:00:00
30114,902,12,18.0,11,0,2014-05-25 12:00:00
30115,902,0,118.0,2,4,2014-05-25 12:00:00
30116,902,19,45.0,6,0,2014-05-25 12:00:00
30117,902,812,0.0,22,0,2014-05-25 12:00:00
