qualifyId,raceId,driverId,constructorId,number,position,date
5884,897,824,0,20,4,2014-03-15 06:00:00
5885,897,817,4,25,6,2014-03-15 06:00:00
5886,897,0,129,44,1,2014-03-15 06:00:00
5887,897,816,8,3,2,2014-03-15 06:00:00
5888,897,2,129,6,3,2014-03-15 06:00:00
5889,897,3,5,14,5,2014-03-15 06:00:00
5890,897,807,9,27,7,2014-03-15 06:00:00
5891,897,17,0,22,11,2014-03-15 06:00:00
5892,897,812,205,13,22,2014-03-15 06:00:00
5893,897,153,205,8,21,2014-03-15 06:00:00
5894,897,820,14,21,19,2014-03-15 06:00:00
5895,897,823,203,17,18,2014-03-15 06:00:00
5896,897,819,203,4,17,2014-03-15 06:00:00
5897,897,814,9,11,16,2014-03-15 06:00:00
5898,897,154,204,10,15,2014-03-15 06:00:00
5899,897,827,204,9,20,2014-03-15 06:00:00
5900,897,19,8,1,13,2014-03-15 06:00:00
5901,897,7,5,7,12,2014-03-15 06:00:00
5902,897,821,2,77,10,2014-03-15 06:00:00
5903,897,12,2,19,9,2014-03-15 06:00:00
5904,897,825,4,26,8,2014-03-15 06:00:00
5905,897,15,14,99,14,2014-03-15 06:00:00
5906,898,817,4,25,9,2014-03-29 08:00:00
5907,898,824,0,20,8,2014-03-29 08:00:00
5908,898,807,9,27,7,2014-03-29 08:00:00
5909,898,7,5,7,6,2014-03-29 08:00:00
5910,898,816,8,3,5,2014-03-29 08:00:00
5911,898,19,8,1,2,2014-03-29 08:00:00
5912,898,2,129,6,3,2014-03-29 08:00:00
5913,898,0,129,44,1,2014-03-29 08:00:00
5914,898,17,0,22,10,2014-03-29 08:00:00
5915,898,820,14,21,12,2014-03-29 08:00:00
5916,898,3,5,14,4,2014-03-29 08:00:00
5917,898,825,4,26,11,2014-03-29 08:00:00
5918,898,12,2,19,13,2014-03-29 08:00:00
5919,898,153,205,8,16,2014-03-29 08:00:00
5920,898,821,2,77,15,2014-03-29 08:00:00
5921,898,812,205,13,17,2014-03-29 08:00:00
5922,898,15,14,99,18,2014-03-29 08:00:00
5923,898,823,203,17,19,2014-03-29 08:00:00
5924,898,154,204,10,20,2014-03-29 08:00:00
5925,898,819,203,4,21,2014-03-29 08:00:00
5926,898,827,204,9,22,2014-03-29 08:00:00
5927,898,814,9,11,14,2014-03-29 08:00:00
5928,899,154,204,10,19,2014-04-05 15:00:00
5929,899,2,129,6,1,2014-04-05 15:00:00
5930,899,0,129,44,2,2014-04-05 15:00:00
5931,899,15,14,99,18,2014-04-05 15:00:00
5932,899,821,2,77,4,2014-04-05 15:00:00
5933,899,814,9,11,5,2014-04-05 15:00:00
5934,899,7,5,7,6,2014-04-05 15:00:00
5935,899,816,8,3,3,2014-04-05 15:00:00
5936,899,12,2,19,8,2014-04-05 15:00:00
5937,899,823,203,17,20,2014-04-05 15:00:00
5938,899,17,0,22,7,2014-04-05 15:00:00
5939,899,819,203,4,22,2014-04-05 15:00:00
5940,899,812,205,13,17,2014-04-05 15:00:00
5941,899,153,205,8,16,2014-04-05 15:00:00
5942,899,820,14,21,15,2014-04-05 15:00:00
5943,899,827,204,9,21,2014-04-05 15:00:00
5944,899,825,4,26,13,2014-04-05 15:00:00
5945,899,807,9,27,12,2014-04-05 15:00:00
5946,899,19,8,1,11,2014-04-05 15:00:00
5947,899,3,5,14,10,2014-04-05 15:00:00
5948,899,824,0,20,9,2014-04-05 15:00:00
5949,899,817,4,25,14,2014-04-05 15:00:00
5950,900,812,205,13,22,2014-04-19 07:00:00
5951,900,819,203,4,21,2014-04-19 07:00:00
5952,900,827,204,9,20,2014-04-19 07:00:00
5953,900,823,203,17,19,2014-04-19 07:00:00
5954,900,154,204,10,18,2014-04-19 07:00:00
5955,900,820,14,21,17,2014-04-19 07:00:00
5956,900,814,9,11,16,2014-04-19 07:00:00
5957,900,824,0,20,15,2014-04-19 07:00:00
5958,900,825,4,26,13,2014-04-19 07:00:00
5959,900,15,14,99,14,2014-04-19 07:00:00
5960,900,7,5,7,11,2014-04-19 07:00:00
5961,900,0,129,44,1,2014-04-19 07:00:00
5962,900,19,8,1,3,2014-04-19 07:00:00
5963,900,2,129,6,4,2014-04-19 07:00:00
5964,900,3,5,14,5,2014-04-19 07:00:00
5965,900,816,8,3,2,2014-04-19 07:00:00
5966,900,821,2,77,7,2014-04-19 07:00:00
5967,900,807,9,27,8,2014-04-19 07:00:00
5968,900,817,4,25,9,2014-04-19 07:00:00
5969,900,153,205,8,10,2014-04-19 07:00:00
5970,900,12,2,19,6,2014-04-19 07:00:00
5971,900,17,0,22,12,2014-04-19 07:00:00
5972,901,820,14,21,14,2014-05-10 12:00:00
5973,901,812,205,13,22,2014-05-10 12:00:00
5974,901,154,204,10,21,2014-05-10 12:00:00
5975,901,827,204,9,20,2014-05-10 12:00:00
5976,901,823,203,17,19,2014-05-10 12:00:00
5977,901,819,203,4,18,2014-05-10 12:00:00
5978,901,15,14,99,17,2014-05-10 12:00:00
5979,901,817,4,25,16,2014-05-10 12:00:00
